weights_index,architecture,flop,params,train_time10,train_acc10,valid_acc10,train_time50,train_acc50,valid_acc50,test_acc50,gpu_latency,rasp_latency,fpga_latency,mcu_latency
000-10,"Genotype(normal=[('avg_pool_3x3', 0), ('sep_conv_5x5', 1), ('avg_pool_3x3', 2), ('sep_conv_3x3', 0), ('max_pool_3x3', 2), ('skip_connect', 1), ('avg_pool_3x3', 4), ('sep_conv_3x3', 2)], normal_concat=range(2, 6), reduce=[('avg_pool_3x3', 1), ('skip_connect', 0), ('skip_connect', 1), ('dil_conv_5x5', 2), ('avg_pool_3x3', 3), ('skip_connect', 1), ('avg_pool_3x3', 3), ('avg_pool_3x3', 0)], reduce_concat=range(2, 6))",430.6608,2.608894,0:17:06,72.932,77.84,1:25:45,85.596,91.79,91.78999761,24.35649576,172.78,399.41,525.49
000-11,"Genotype(normal=[('max_pool_3x3', 1), ('none', 0), ('max_pool_3x3', 1), ('dil_conv_3x3', 2), ('avg_pool_3x3', 0), ('skip_connect', 2), ('skip_connect', 2), ('dil_conv_3x3', 3)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 1), ('avg_pool_3x3', 0), ('dil_conv_3x3', 0), ('dil_conv_3x3', 2), ('avg_pool_3x3', 2), ('none', 1), ('avg_pool_3x3', 4), ('sep_conv_5x5', 0)], reduce_concat=range(2, 6))",309.894336,1.91359,0:11:10,72.84,76.74,0:56:08,80.3,89.39,89.39999736,16.74856868,292.17,395.04,465.45
000-12,"Genotype(normal=[('sep_conv_5x5', 1), ('max_pool_3x3', 0), ('dil_conv_3x3', 1), ('skip_connect', 0), ('avg_pool_3x3', 0), ('skip_connect', 3), ('skip_connect', 4), ('sep_conv_5x5', 3)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 1), ('none', 0), ('avg_pool_3x3', 2), ('dil_conv_3x3', 1), ('sep_conv_5x5', 3), ('none', 1), ('sep_conv_3x3', 0), ('max_pool_3x3', 2)], reduce_concat=range(2, 6))",417.472704,2.514934,0:15:15,79.224,82.03,1:16:38,90.454,93.44,93.43999757,22.43973165,295.02,357.95,479.59
000-13,"Genotype(normal=[('sep_conv_5x5', 0), ('sep_conv_3x3', 1), ('avg_pool_3x3', 0), ('none', 1), ('sep_conv_5x5', 0), ('dil_conv_3x3', 1), ('sep_conv_5x5', 1), ('dil_conv_5x5', 2)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 1), ('skip_connect', 0), ('max_pool_3x3', 1), ('avg_pool_3x3', 0), ('dil_conv_5x5', 2), ('sep_conv_5x5', 3), ('sep_conv_5x5', 1), ('avg_pool_3x3', 0)], reduce_concat=range(2, 6))",584.770752,3.52387,0:22:51,75.284,82.45,1:54:23,88.162,92.78,92.77999735,32.28193994,297.11,482.63,498.07
000-14,"Genotype(normal=[('dil_conv_3x3', 1), ('sep_conv_3x3', 0), ('dil_conv_5x5', 2), ('dil_conv_3x3', 0), ('avg_pool_3x3', 1), ('sep_conv_3x3', 0), ('dil_conv_5x5', 2), ('avg_pool_3x3', 0)], normal_concat=range(2, 6), reduce=[('avg_pool_3x3', 0), ('sep_conv_3x3', 1), ('max_pool_3x3', 1), ('sep_conv_5x5', 2), ('dil_conv_5x5', 3), ('dil_conv_3x3', 2), ('dil_conv_3x3', 0), ('avg_pool_3x3', 3)], reduce_concat=range(2, 6))",498.730176,3.066382,0:18:47,76.754,83.01,1:34:44,87.886,92.62,92.61999772,26.44522758,192.92,472.42,476.29
000-15,"Genotype(normal=[('skip_connect', 1), ('avg_pool_3x3', 0), ('sep_conv_3x3', 0), ('dil_conv_5x5', 2), ('skip_connect', 0), ('sep_conv_3x3', 2), ('sep_conv_5x5', 0), ('sep_conv_5x5', 3)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 1), ('dil_conv_5x5', 0), ('sep_conv_3x3', 0), ('max_pool_3x3', 2), ('dil_conv_5x5', 3), ('avg_pool_3x3', 0), ('none', 0), ('max_pool_3x3', 3)], reduce_concat=range(2, 6))",543.243456,3.294046,0:20:37,78.35,82.2,1:43:06,90.91,93.51,93.50999744,29.10590906,220.36,427.64,473.19
000-16,"Genotype(normal=[('none', 0), ('none', 1), ('sep_conv_3x3', 0), ('dil_conv_3x3', 2), ('sep_conv_5x5', 2), ('max_pool_3x3', 3), ('dil_conv_5x5', 2), ('skip_connect', 4)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 0), ('none', 1), ('sep_conv_5x5', 0), ('sep_conv_5x5', 1), ('dil_conv_3x3', 1), ('sep_conv_5x5', 2), ('dil_conv_3x3', 3), ('avg_pool_3x3', 1)], reduce_concat=range(2, 6))",457.534656,2.832886,0:17:04,56.776,64.88,1:25:51,28.842,67.54,67.53999733,24.49079151,229.77,312.98,544.84
000-17,"Genotype(normal=[('max_pool_3x3', 1), ('none', 0), ('dil_conv_3x3', 0), ('avg_pool_3x3', 2), ('sep_conv_3x3', 3), ('sep_conv_5x5', 1), ('max_pool_3x3', 0), ('skip_connect', 2)], normal_concat=range(2, 6), reduce=[('sep_conv_3x3', 1), ('skip_connect', 0), ('dil_conv_5x5', 1), ('max_pool_3x3', 2), ('sep_conv_3x3', 2), ('dil_conv_3x3', 1), ('dil_conv_5x5', 3), ('skip_connect', 2)], reduce_concat=range(2, 6))",413.850816,2.549494,0:15:47,76.592,79.89,1:19:08,85.87,92.27,92.26999738,22.70468817,157.92,335.02,468.38
000-18,"Genotype(normal=[('sep_conv_3x3', 0), ('sep_conv_5x5', 1), ('none', 1), ('avg_pool_3x3', 2), ('sep_conv_3x3', 0), ('max_pool_3x3', 1), ('max_pool_3x3', 2), ('dil_conv_3x3', 4)], normal_concat=range(2, 6), reduce=[('dil_conv_3x3', 1), ('skip_connect', 0), ('avg_pool_3x3', 2), ('sep_conv_5x5', 1), ('sep_conv_3x3', 1), ('sep_conv_3x3', 3), ('avg_pool_3x3', 2), ('skip_connect', 0)], reduce_concat=range(2, 6))",474.510528,2.935702,0:18:34,72.448,71.92,1:33:13,84.606,91.35,91.3499976,26.33045969,284.73,337.39,479.42
000-19,"Genotype(normal=[('skip_connect', 0), ('none', 1), ('skip_connect', 2), ('avg_pool_3x3', 0), ('sep_conv_3x3', 2), ('sep_conv_3x3', 0), ('max_pool_3x3', 1), ('sep_conv_3x3', 0)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 1), ('sep_conv_5x5', 0), ('skip_connect', 1), ('dil_conv_3x3', 0), ('skip_connect', 2), ('max_pool_3x3', 1), ('max_pool_3x3', 4), ('sep_conv_5x5', 3)], reduce_concat=range(2, 6))",432.153792,2.694862,0:15:51,80.826,85.27,1:20:06,91.69,93.81,93.79999739,22.818364,194.22,338.46,417.73
000-20,"Genotype(normal=[('dil_conv_5x5', 1), ('dil_conv_3x3', 0), ('dil_conv_5x5', 0), ('dil_conv_5x5', 2), ('sep_conv_5x5', 2), ('sep_conv_5x5', 3), ('dil_conv_5x5', 0), ('dil_conv_3x3', 4)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 0), ('none', 1), ('skip_connect', 1), ('sep_conv_5x5', 0), ('sep_conv_5x5', 0), ('avg_pool_3x3', 1), ('dil_conv_3x3', 4), ('avg_pool_3x3', 2)], reduce_concat=range(2, 6))",597.046464,3.60811,0:23:02,69.052,70.09,1:56:15,83.182,90.06,90.05999771,32.27628589,282.07,302.54,533.76
000-21,"Genotype(normal=[('avg_pool_3x3', 0), ('skip_connect', 1), ('avg_pool_3x3', 0), ('avg_pool_3x3', 1), ('max_pool_3x3', 1), ('avg_pool_3x3', 3), ('dil_conv_5x5', 0), ('dil_conv_5x5', 2)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 1), ('dil_conv_3x3', 0), ('avg_pool_3x3', 0), ('max_pool_3x3', 1), ('dil_conv_5x5', 0), ('dil_conv_3x3', 1), ('sep_conv_5x5', 1), ('dil_conv_3x3', 3)], reduce_concat=range(2, 6))",329.856192,2.022022,0:12:58,74.07,76.49,1:05:16,87.484,91.46,91.45999738,18.97370238,242.43,431.09,525.63
000-22,"Genotype(normal=[('dil_conv_3x3', 1), ('dil_conv_5x5', 0), ('dil_conv_3x3', 0), ('dil_conv_3x3', 2), ('sep_conv_3x3', 3), ('sep_conv_3x3', 0), ('avg_pool_3x3', 1), ('dil_conv_3x3', 4)], normal_concat=range(2, 6), reduce=[('dil_conv_5x5', 0), ('max_pool_3x3', 1), ('avg_pool_3x3', 1), ('dil_conv_3x3', 0), ('dil_conv_3x3', 1), ('dil_conv_5x5', 0), ('sep_conv_5x5', 1), ('avg_pool_3x3', 4)], reduce_concat=range(2, 6))",518.498496,3.197278,0:19:30,74.524,75.98,1:37:46,86.2,91.82,91.81999739,27.14937096,246.37,450.49,504.53
000-23,"Genotype(normal=[('sep_conv_3x3', 1), ('none', 0), ('sep_conv_3x3', 0), ('avg_pool_3x3', 2), ('dil_conv_5x5', 2), ('dil_conv_5x5', 0), ('dil_conv_3x3', 1), ('skip_connect', 3)], normal_concat=range(2, 6), reduce=[('none', 0), ('sep_conv_5x5', 1), ('avg_pool_3x3', 0), ('sep_conv_3x3', 1), ('sep_conv_3x3', 1), ('sep_conv_3x3', 0), ('skip_connect', 4), ('sep_conv_5x5', 2)], reduce_concat=range(2, 6))",478.878912,2.974798,0:17:38,70.366,74.08,1:28:36,83.736,90.84,90.83999741,25.01483645,292.13,432.46,487.36
000-24,"Genotype(normal=[('avg_pool_3x3', 0), ('skip_connect', 1), ('dil_conv_3x3', 1), ('avg_pool_3x3', 2), ('sep_conv_5x5', 0), ('dil_conv_5x5', 1), ('skip_connect', 3), ('max_pool_3x3', 2)], normal_concat=range(2, 6), reduce=[('skip_connect', 1), ('none', 0), ('dil_conv_3x3', 0), ('none', 2), ('dil_conv_5x5', 3), ('skip_connect', 1), ('max_pool_3x3', 0), ('dil_conv_5x5', 4)], reduce_concat=range(2, 6))",382.221504,2.306926,0:14:25,75.07,74.78,1:12:41,86.89,91.7,91.69999742,21.09414606,248.42,384.81,401.86
000-25,"Genotype(normal=[('sep_conv_5x5', 0), ('dil_conv_5x5', 1), ('dil_conv_5x5', 0), ('sep_conv_3x3', 1), ('avg_pool_3x3', 1), ('dil_conv_5x5', 0), ('sep_conv_5x5', 1), ('none', 4)], normal_concat=range(2, 6), reduce=[('avg_pool_3x3', 1), ('none', 0), ('skip_connect', 0), ('none', 2), ('avg_pool_3x3', 1), ('max_pool_3x3', 3), ('max_pool_3x3', 4), ('skip_connect', 0)], reduce_concat=range(2, 6))",541.335744,3.211534,0:21:18,74.668,79.6,1:47:30,87.346,91.8,91.7999974,30.08192711,259.38,368.61,520.25
000-26,"Genotype(normal=[('avg_pool_3x3', 1), ('none', 0), ('dil_conv_5x5', 2), ('max_pool_3x3', 1), ('avg_pool_3x3', 2), ('dil_conv_3x3', 1), ('dil_conv_5x5', 2), ('sep_conv_3x3', 1)], normal_concat=range(2, 6), reduce=[('sep_conv_3x3', 0), ('dil_conv_3x3', 1), ('dil_conv_5x5', 2), ('none', 1), ('sep_conv_5x5', 2), ('avg_pool_3x3', 0), ('sep_conv_5x5', 4), ('avg_pool_3x3', 3)], reduce_concat=range(2, 6))",415.86912,2.561806,0:15:48,64.87,70.29,1:19:34,77.856,88.5,88.4999975,22.6811605,227.88,373.54,500.68
000-27,"Genotype(normal=[('sep_conv_5x5', 0), ('sep_conv_3x3', 1), ('dil_conv_5x5', 1), ('dil_conv_5x5', 2), ('dil_conv_5x5', 3), ('avg_pool_3x3', 2), ('avg_pool_3x3', 2), ('max_pool_3x3', 4)], normal_concat=range(2, 6), reduce=[('skip_connect', 1), ('sep_conv_3x3', 0), ('dil_conv_3x3', 2), ('dil_conv_3x3', 0), ('dil_conv_3x3', 0), ('none', 2), ('max_pool_3x3', 4), ('dil_conv_3x3', 3)], reduce_concat=range(2, 6))",486.758592,2.946718,0:18:58,63.828,65.51,1:35:45,76.616,87.39,87.38999756,27.08897009,271.88,354.4,501.12
000-28,"Genotype(normal=[('max_pool_3x3', 0), ('max_pool_3x3', 1), ('max_pool_3x3', 2), ('dil_conv_5x5', 0), ('sep_conv_5x5', 1), ('dil_conv_5x5', 2), ('avg_pool_3x3', 4), ('dil_conv_5x5', 1)], normal_concat=range(2, 6), reduce=[('skip_connect', 1), ('sep_conv_3x3', 0), ('sep_conv_5x5', 2), ('avg_pool_3x3', 1), ('sep_conv_5x5', 3), ('sep_conv_5x5', 2), ('dil_conv_5x5', 3), ('sep_conv_5x5', 2)], reduce_concat=range(2, 6))",447.609024,2.759446,0:17:31,75.298,80.06,1:27:49,84.81,91.5,91.49999755,25.2645607,184.49,489.05,512.54
000-29,"Genotype(normal=[('max_pool_3x3', 1), ('none', 0), ('max_pool_3x3', 1), ('max_pool_3x3', 0), ('dil_conv_5x5', 1), ('max_pool_3x3', 3), ('skip_connect', 1), ('avg_pool_3x3', 0)], normal_concat=range(2, 6), reduce=[('none', 1), ('none', 0), ('sep_conv_5x5', 2), ('sep_conv_5x5', 1), ('dil_conv_5x5', 3), ('max_pool_3x3', 2), ('dil_conv_5x5', 3), ('sep_conv_5x5', 1)], reduce_concat=range(2, 6))",294.881472,1.82827,0:11:19,74.292,76.12,0:57:00,84.49,90.74,90.73999761,17.10998783,158.18,393.09,438.48
000-30,"Genotype(normal=[('sep_conv_5x5', 1), ('dil_conv_3x3', 0), ('dil_conv_3x3', 2), ('none', 0), ('skip_connect', 0), ('dil_conv_5x5', 1), ('none', 1), ('sep_conv_3x3', 3)], normal_concat=range(2, 6), reduce=[('skip_connect', 0), ('dil_conv_3x3', 1), ('dil_conv_3x3', 0), ('avg_pool_3x3', 2), ('dil_conv_5x5', 3), ('max_pool_3x3', 2), ('skip_connect', 2), ('max_pool_3x3', 4)], reduce_concat=range(2, 6))",465.027264,2.816902,0:17:03,72.838,78.76,1:25:59,87.376,91.9,91.89999724,24.45287509,219.15,330,546.57
000-31,"Genotype(normal=[('max_pool_3x3', 1), ('sep_conv_3x3', 0), ('avg_pool_3x3', 0), ('max_pool_3x3', 1), ('sep_conv_5x5', 2), ('skip_connect', 3), ('sep_conv_5x5', 1), ('sep_conv_5x5', 4)], normal_concat=range(2, 6), reduce=[('dil_conv_5x5', 0), ('max_pool_3x3', 1), ('sep_conv_3x3', 1), ('max_pool_3x3', 2), ('avg_pool_3x3', 2), ('max_pool_3x3', 0), ('sep_conv_3x3', 3), ('dil_conv_3x3', 2)], reduce_concat=range(2, 6))",519.189696,3.127942,0:20:19,76.894,79.8,1:41:29,87.064,92.59,92.58999769,29.15574894,249.74,411.35,523.31
000-32,"Genotype(normal=[('sep_conv_5x5', 0), ('dil_conv_5x5', 1), ('sep_conv_5x5', 0), ('dil_conv_5x5', 1), ('sep_conv_5x5', 1), ('max_pool_3x3', 3), ('sep_conv_3x3', 0), ('dil_conv_5x5', 3)], normal_concat=range(2, 6), reduce=[('dil_conv_3x3', 0), ('none', 1), ('max_pool_3x3', 1), ('max_pool_3x3', 0), ('avg_pool_3x3', 1), ('none', 0), ('sep_conv_3x3', 2), ('sep_conv_3x3', 3)], reduce_concat=range(2, 6))",620.685504,3.70855,0:24:24,71.77,74.95,2:01:32,85.364,91.56,91.5599976,34.3054738,285.63,302.2,516.96
000-33,"Genotype(normal=[('skip_connect', 1), ('sep_conv_5x5', 0), ('skip_connect', 1), ('skip_connect', 0), ('skip_connect', 0), ('sep_conv_5x5', 2), ('avg_pool_3x3', 1), ('sep_conv_3x3', 0)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 0), ('none', 1), ('dil_conv_3x3', 1), ('none', 2), ('avg_pool_3x3', 2), ('sep_conv_5x5', 0), ('dil_conv_3x3', 4), ('dil_conv_5x5', 1)], reduce_concat=range(2, 6))",453.74688,2.761822,0:16:23,80.314,84.18,1:22:29,92.894,93.76,93.75999741,23.94467959,260.64,469.16,531.38
000-34,"Genotype(normal=[('sep_conv_5x5', 0), ('none', 1), ('skip_connect', 1), ('max_pool_3x3', 2), ('sep_conv_5x5', 0), ('sep_conv_3x3', 1), ('sep_conv_3x3', 4), ('max_pool_3x3', 2)], normal_concat=range(2, 6), reduce=[('avg_pool_3x3', 1), ('sep_conv_5x5', 0), ('sep_conv_3x3', 2), ('skip_connect', 1), ('sep_conv_5x5', 3), ('dil_conv_5x5', 2), ('avg_pool_3x3', 4), ('skip_connect', 3)], reduce_concat=range(2, 6))",513.991872,3.14803,0:19:37,72.136,76.37,1:38:10,87.004,91.89,91.88999747,28.0754077,251.1,359.51,405.49
000-35,"Genotype(normal=[('dil_conv_3x3', 1), ('sep_conv_5x5', 0), ('max_pool_3x3', 0), ('sep_conv_3x3', 1), ('skip_connect', 0), ('max_pool_3x3', 3), ('avg_pool_3x3', 0), ('avg_pool_3x3', 2)], normal_concat=range(2, 6), reduce=[('sep_conv_5x5', 0), ('none', 1), ('max_pool_3x3', 2), ('sep_conv_5x5', 0), ('sep_conv_3x3', 2), ('sep_conv_3x3', 3), ('dil_conv_5x5', 3), ('avg_pool_3x3', 4)], reduce_concat=range(2, 6))",418.855104,2.590102,0:16:05,77.29,81.12,1:20:33,86.91,92.55,92.54999712,23.07298245,156.08,449.89,416.33
000-36,"Genotype(normal=[('max_pool_3x3', 0), ('avg_pool_3x3', 1), ('sep_conv_5x5', 0), ('sep_conv_5x5', 2), ('none', 1), ('sep_conv_5x5', 0), ('skip_connect', 2), ('skip_connect', 1)], normal_concat=range(2, 6), reduce=[('dil_conv_3x3', 1), ('dil_conv_5x5', 0), ('max_pool_3x3', 0), ('dil_conv_5x5', 2), ('dil_conv_5x5', 1), ('dil_conv_3x3', 0), ('avg_pool_3x3', 1), ('skip_connect', 3)], reduce_concat=range(2, 6))",459.221184,2.746702,0:17:37,78.46,82.05,1:28:23,89.346,93.14,93.13999746,25.68101282,212.48,367.18,465.64
000-37,"Genotype(normal=[('avg_pool_3x3', 0), ('avg_pool_3x3', 1), ('sep_conv_5x5', 2), ('dil_conv_5x5', 1), ('skip_connect', 3), ('avg_pool_3x3', 1), ('sep_conv_5x5', 0), ('max_pool_3x3', 4)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 1), ('dil_conv_5x5', 0), ('dil_conv_5x5', 0), ('max_pool_3x3', 1), ('sep_conv_3x3', 0), ('sep_conv_5x5', 2), ('sep_conv_3x3', 3), ('sep_conv_5x5', 0)], reduce_concat=range(2, 6))",441.249984,2.69443,0:17:24,71.52,75.93,1:27:17,84.46,90.75,90.74999777,24.98703971,210.07,427.92,438.83
000-38,"Genotype(normal=[('dil_conv_3x3', 1), ('sep_conv_5x5', 0), ('skip_connect', 1), ('dil_conv_5x5', 0), ('sep_conv_3x3', 2), ('dil_conv_3x3', 3), ('avg_pool_3x3', 3), ('skip_connect', 4)], normal_concat=range(2, 6), reduce=[('skip_connect', 1), ('sep_conv_5x5', 0), ('dil_conv_5x5', 1), ('none', 0), ('dil_conv_5x5', 2), ('max_pool_3x3', 0), ('sep_conv_5x5', 4), ('sep_conv_3x3', 2)], reduce_concat=range(2, 6))",482.666688,2.975662,0:17:48,72.358,78.87,1:29:24,87.048,91.5,91.50999756,25.26048999,200.21,455.79,497.26
000-39,"Genotype(normal=[('sep_conv_5x5', 1), ('sep_conv_3x3', 0), ('dil_conv_3x3', 1), ('sep_conv_5x5', 0), ('dil_conv_3x3', 3), ('dil_conv_5x5', 0), ('skip_connect', 1), ('skip_connect', 0)], normal_concat=range(2, 6), reduce=[('max_pool_3x3', 0), ('avg_pool_3x3', 1), ('dil_conv_3x3', 2), ('max_pool_3x3', 0), ('dil_conv_5x5', 0), ('skip_connect', 2), ('skip_connect', 0), ('max_pool_3x3', 3)], reduce_concat=range(2, 6))",532.239552,3.196846,0:19:44,79.942,84.48,1:39:17,91.912,93.83,93.83999744,28.20966182,215.39,468.26,416.23
000-40,"Genotype(normal=[('max_pool_3x3', 1), ('sep_conv_3x3', 0), ('sep_conv_5x5', 1), ('sep_conv_3x3', 2), ('max_pool_3x3', 2), ('max_pool_3x3', 3), ('dil_conv_5x5', 3), ('sep_conv_3x3', 4)], normal_concat=range(2, 6), reduce=[('avg_pool_3x3', 0), ('sep_conv_5x5', 1), ('avg_pool_3x3', 2), ('sep_conv_3x3', 1), ('sep_conv_3x3', 0), ('max_pool_3x3', 3), ('avg_pool_3x3', 2), ('dil_conv_3x3', 0)], reduce_concat=range(2, 6))",532.654272,3.267046,0:20:40,59.734,58.31,1:44:01,76.64,86.62,86.61999755,29.4635169,216.97,493.02,404.6
